Line,Category,Misconfigured_Param,Snippet
1,Configuration/Syntax Error,gNBs.plmn_list.snssaiList={},[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_141.conf - line 59: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
2,Configuration/Syntax Error,gNBs.plmn_list.snssaiList.sst=-1,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
3,Configuration/Syntax Error,gNBs.plmn_list={},[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_78.conf - line 59: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_conf
4,Configuration/Syntax Error,gNBs.plmn_list.mnc=1000,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
5,SCTP Connection Refused,gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NG_AMF=,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
6,SCTP Connection Refused,gNBs.plmn_list.mnc=0,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
7,GTP/Interface Creation Failure,gNBs.local_s_address=192.168.8.43,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
8,Unknown/Other,gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NG_AMF=192.168.1.256,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
9,SCTP Connection Refused,gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NG_AMF=12345,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
10,GTP/Interface Creation Failure,gNBs.NETWORK_INTERFACES.GNB_IPV4_ADDRESS_FOR_NG_AMF=192.168.8.43a,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
11,Configuration/Syntax Error,gNBs.amf_ip_address.ipv4=192.168.8.43,[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_299.conf - line 91: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_con
12,GTP/Interface Creation Failure,gNBs.local_s_address=,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
13,SCTP Connection Refused,security.drb_ciphering=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
14,Configuration/Syntax Error,gNBs.plmn_list.mnc=1000,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
15,SCTP Connection Refused,gNBs.plmn_list.mnc=999,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
16,Unknown/Other,gNBs.tr_s_preference=f2,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
17,SCTP Connection Refused,security.drb_integrity=invalid,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
18,Configuration/Syntax Error,gNBs.plmn_list.mnc_length=-1,[ENB_APP]   nfapi (0) running mode: MONOLITHIC [0m[GNB_APP]   Getting GNBSParams [0m[OPT]   OPT disabled [0m[HW]   Version: Branch: HEAD Abrev. Hash: 7026763286 Date: Tue Jul 2 12:38:22 2024 +0000 
19,Configuration/Syntax Error,log_config={},[LIBCONFIG] file /home/sionna/evan/CursorAutomation/cursor_gen_conf/auto_run_gnb_ue/cu_case_77.conf - line 81: syntax error [CONFIG] /home/sionna/evan/openairinterface5g/common/config/config_load_conf
