filename,modified_key,original_value,error_value,error_type,affected_module,impact_description,option,source_file,domain_density,token_set,param_name,param_in_repo
DU_case_001.json,gNBs[0].pdsch_AntennaPorts_XP,2,8,out of range,PHY,Exceeds maximum supported antenna ports for PDSCH,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'antenna', 'for', 'supported', 'out', 'pdsch', 'exceeds', 'ports', 'range', 'phy', 'of', 'maximum'}",pdsch_AntennaPorts_XP,
DU_case_002.json,gNBs[0].pdsch_AntennaPorts_N1,2,1,invalid enum,PHY,Invalid antenna port configuration for PDSCH,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'antenna', 'invalid', 'for', 'port', 'pdsch', 'enum', 'phy', 'configuration'}",pdsch_AntennaPorts_N1,
DU_case_003.json,gNBs[0].servingCellConfigCommon[0].dl_frequencyBand,78,79,out of range,RRC,Invalid frequency band for serving cell,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'for', 'invalid', 'band', 'cell', 'out', 'rrc', 'serving', 'range', 'frequency', 'of'}",dl_frequencyBand,
DU_case_004.json,gNBs[0].servingCellConfigCommon[0].dl_subcarrierSpacing,1,3,invalid enum,RRC,Invalid subcarrier spacing for serving cell,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'for', 'invalid', 'cell', 'rrc', 'serving', 'enum', 'subcarrier', 'spacing'}",dl_subcarrierSpacing,
DU_case_005.json,gNBs[0].servingCellConfigCommon[0].initialDLBWPlocationAndBandwidth,28875,30000,out of range,RRC,Exceeds maximum supported bandwidth for DL BWP,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.14285714285714285,"{'for', 'supported', 'out', 'rrc', 'bwp', 'exceeds', 'bandwidth', 'of', 'range', 'dl', 'maximum'}",initialDLBWPlocationAndBandwidth,
DU_case_006.json,gNBs[0].servingCellConfigCommon[0].prach_ConfigurationIndex,98,99,out of range,RRC,Invalid PRACH configuration index,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25,"{'invalid', 'out', 'prach', 'rrc', 'index', 'range', 'of', 'configuration'}",prach_ConfigurationIndex,
DU_case_007.json,gNBs[0].servingCellConfigCommon[0].prach_msg1_FDM,0,1,invalid enum,RRC,Invalid PRACH message 1 FDM configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.16666666666666666,"{'invalid', 'prach', 'rrc', 'enum', '1', 'message', 'fdm', 'configuration'}",prach_msg1_FDM,
DU_case_008.json,gNBs[0].servingCellConfigCommon[0].zeroCorrelationZoneConfig,13,14,out of range,RRC,Invalid zero correlation zone configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'invalid', 'correlation', 'out', 'rrc', 'zero', 'range', 'zone', 'of', 'configuration'}",zeroCorrelationZoneConfig,
DU_case_009.json,gNBs[0].servingCellConfigCommon[0].preambleReceivedTargetPower,-96,-97,out of range,RRC,Invalid preamble received target power,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'invalid', 'target', 'out', 'rrc', 'received', 'preamble', 'range', 'power', 'of'}",preambleReceivedTargetPower,
DU_case_010.json,gNBs[0].servingCellConfigCommon[0].preambleTransMax,6,7,out of range,RRC,Invalid preamble transmission maximum,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'invalid', 'out', 'rrc', 'preamble', 'range', 'of', 'transmission', 'maximum'}",preambleTransMax,
