filename,modified_key,original_value,error_value,error_type,affected_module,impact_description,option,source_file,domain_density,token_set,param_name,param_in_repo
DU_case_001.json,gNBs[0].pdsch_AntennaPorts_XP,2,8,out of range,PHY,Exceeds maximum supported antenna ports for PDSCH,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'for', 'exceeds', 'maximum', 'range', 'antenna', 'phy', 'ports', 'of', 'pdsch', 'supported', 'out'}",pdsch_AntennaPorts_XP,
DU_case_002.json,gNBs[0].pdsch_AntennaPorts_N1,2,1,invalid enum,PHY,Invalid antenna port configuration for PDSCH,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'for', 'enum', 'antenna', 'phy', 'configuration', 'pdsch', 'invalid', 'port'}",pdsch_AntennaPorts_N1,
DU_case_003.json,gNBs[0].servingCellConfigCommon[0].dl_frequencyBand,78,79,out of range,RRC,Invalid frequency band for serving cell,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'for', 'frequency', 'band', 'serving', 'cell', 'range', 'of', 'invalid', 'rrc', 'out'}",dl_frequencyBand,
DU_case_004.json,gNBs[0].servingCellConfigCommon[0].dl_subcarrierSpacing,1,3,invalid enum,RRC,Invalid subcarrier spacing for serving cell,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'for', 'serving', 'subcarrier', 'enum', 'cell', 'invalid', 'rrc', 'spacing'}",dl_subcarrierSpacing,
DU_case_005.json,gNBs[0].servingCellConfigCommon[0].initialDLBWPlocationAndBandwidth,28875,30000,out of range,RRC,Exceeds maximum supported bandwidth for DL BWP,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.14285714285714285,"{'for', 'exceeds', 'maximum', 'dl', 'range', 'of', 'bwp', 'bandwidth', 'rrc', 'supported', 'out'}",initialDLBWPlocationAndBandwidth,
DU_case_006.json,gNBs[0].servingCellConfigCommon[0].prach_ConfigurationIndex,98,99,out of range,RRC,Invalid PRACH configuration index,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.25,"{'index', 'range', 'prach', 'configuration', 'of', 'invalid', 'rrc', 'out'}",prach_ConfigurationIndex,
DU_case_007.json,gNBs[0].servingCellConfigCommon[0].prach_msg1_FDM,0,1,invalid enum,RRC,Invalid PRACH message 1 FDM configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.16666666666666666,"{'fdm', 'enum', 'message', 'prach', 'configuration', 'invalid', 'rrc', '1'}",prach_msg1_FDM,
DU_case_008.json,gNBs[0].servingCellConfigCommon[0].zeroCorrelationZoneConfig,13,14,out of range,RRC,Invalid zero correlation zone configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'correlation', 'range', 'zero', 'configuration', 'of', 'invalid', 'rrc', 'out', 'zone'}",zeroCorrelationZoneConfig,
DU_case_009.json,gNBs[0].servingCellConfigCommon[0].preambleReceivedTargetPower,-96,-97,out of range,RRC,Invalid preamble received target power,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'power', 'range', 'of', 'received', 'invalid', 'rrc', 'target', 'out', 'preamble'}",preambleReceivedTargetPower,
DU_case_010.json,gNBs[0].servingCellConfigCommon[0].preambleTransMax,6,7,out of range,RRC,Invalid preamble transmission maximum,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'maximum', 'range', 'transmission', 'of', 'invalid', 'rrc', 'out', 'preamble'}",preambleTransMax,
DU_case_011.json,gNBs[0].servingCellConfigCommon[0].powerRampingStep,1,2,invalid enum,RRC,Invalid power ramping step,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'ramping', 'power', 'enum', 'invalid', 'rrc', 'step'}",powerRampingStep,
DU_case_012.json,gNBs[0].servingCellConfigCommon[0].ra_ResponseWindow,4,5,out of range,RRC,Invalid response window for RA,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'for', 'range', 'window', 'of', 'invalid', 'rrc', 'response', 'ra', 'out'}",ra_ResponseWindow,
DU_case_013.json,gNBs[0].servingCellConfigCommon[0].ssb_perRACH_OccasionAndCB_PreamblesPerSSB_PR,4,5,out of range,RRC,Invalid SSB per RACH occasion and CB preambles per SSB,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.2,"{'occasion', 'range', 'and', 'cb', 'of', 'per', 'preambles', 'invalid', 'ssb', 'rrc', 'rach', 'out'}",ssb_perRACH_OccasionAndCB_PreamblesPerSSB_PR,
DU_case_014.json,gNBs[0].servingCellConfigCommon[0].ssb_perRACH_OccasionAndCB_PreamblesPerSSB,15,16,out of range,RRC,Invalid SSB per RACH occasion and CB preambles per SSB,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.2,"{'occasion', 'range', 'and', 'cb', 'of', 'per', 'preambles', 'invalid', 'ssb', 'rrc', 'rach', 'out'}",ssb_perRACH_OccasionAndCB_PreamblesPerSSB,
DU_case_015.json,gNBs[0].servingCellConfigCommon[0].ra_ContentionResolutionTimer,7,8,out of range,RRC,Invalid contention resolution timer,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,0.0,"{'resolution', 'range', 'of', 'invalid', 'rrc', 'contention', 'timer', 'out'}",ra_ContentionResolutionTimer,
