param_name,option_op1,num_cases_op1,num_numeric_pairs_op1,mean_abs_delta_op1,type_change_rate_op1,sign_change_rate_op1,zero_to_nonzero_rate_op1,nonzero_to_zero_rate_op1,large_jump_rate_op1,option_op2,num_cases_op2,num_numeric_pairs_op2,mean_abs_delta_op2,type_change_rate_op2,sign_change_rate_op2,zero_to_nonzero_rate_op2,nonzero_to_zero_rate_op2,large_jump_rate_op2
IQfile,op1,1,0,,0.0,0.0,0.0,0.0,0.0,op2,1,0,,1.0,0.0,0.0,0.0,0.0
SCTP_INSTREAMS,op1,2,2,1.0,0.0,0.0,0.0,0.0,0.0,op2,1,1,2.0,0.0,1.0,0.0,1.0,0.0
SCTP_OUTSTREAMS,op1,2,2,1.5,0.0,0.5,0.0,0.5,0.0,op2,1,1,2.0,0.0,1.0,0.0,1.0,0.0
clock_src,op1,3,0,,0.0,0.0,0.0,0.0,0.0,op2,2,0,,0.0,0.0,0.0,0.0,0.0
dl_UL_TransmissionPeriodicity,op1,2,2,3.5,0.0,0.5,0.0,0.5,0.0,op2,3,3,4.666666666666667,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
dl_carrierBandwidth,op1,1,1,106.0,0.0,1.0,0.0,1.0,1.0,op2,3,3,89.33333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0
dl_subcarrierSpacing,op1,2,2,1.5,0.0,0.0,0.0,0.0,0.0,op2,3,2,2.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
dmrs_TypeA_Position,op1,2,2,1.0,0.0,1.0,1.0,0.0,0.0,op2,2,2,2.0,0.0,1.0,1.0,0.0,0.0
do_precoding,op1,2,2,1.0,0.0,1.0,1.0,0.0,0.0,op2,1,1,2.0,0.0,1.0,1.0,0.0,0.0
dpdk_devices,op1,3,0,,0.0,0.0,0.0,0.0,0.0,op2,2,0,,0.0,0.0,0.0,0.0,0.0
eNB_instances,op1,3,0,,0.0,0.0,0.0,0.0,0.0,op2,1,1,1.0,0.0,1.0,1.0,0.0,0.0
gNB_ID,op1,1,0,,0.0,0.0,0.0,0.0,0.0,op2,1,0,,0.0,0.0,0.0,0.0,0.0
global_log_level,op1,3,0,,0.0,0.0,0.0,0.0,0.0,op2,1,0,,0.0,0.0,0.0,0.0,0.0
hoppingId,op1,2,2,20.5,0.0,0.5,0.0,0.5,0.5,op2,2,2,984.0,0.0,0.0,0.0,0.0,1.0
initialDLBWPlocationAndBandwidth,op1,1,1,1125.0,0.0,0.0,0.0,0.0,1.0,op2,3,3,40375.0,0.0,0.3333333333333333,0.0,0.3333333333333333,1.0
iq_width,op1,2,2,5.0,0.0,0.5,0.0,0.5,0.0,op2,1,1,9.0,0.0,1.0,0.0,1.0,0.0
iq_width_prach,op1,2,2,5.0,0.0,0.5,0.0,0.5,0.0,op2,1,1,8.0,0.0,0.0,0.0,0.0,0.0
kbar,op1,2,2,1.0,0.0,1.0,1.0,0.0,0.0,op2,1,1,1.0,0.0,1.0,1.0,0.0,0.0
local_n_address,op1,2,0,,0.0,0.0,0.0,0.0,0.0,op2,2,0,,0.0,0.0,0.0,0.0,0.0
local_n_portc,op1,2,2,250.5,0.0,0.5,0.0,0.5,0.5,op2,2,2,0.0,1.0,0.0,0.0,0.0,0.0
local_n_portd,op1,2,2,1076.5,0.0,0.5,0.0,0.5,0.5,op2,1,1,2151.0,1.0,0.0,0.0,0.0,1.0
local_rf,op1,4,0,,0.0,0.0,0.0,0.0,0.0,op2,1,0,,0.0,0.0,0.0,0.0,0.0
max_pdschReferenceSignalPower,op1,3,3,18.333333333333332,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,op2,1,1,77.0,0.0,1.0,0.0,0.0,1.0
max_rxgain,op1,3,3,76.33333333333333,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,op2,1,1,86.0,0.0,0.0,0.0,0.0,1.0
modelname,op1,1,0,,0.0,0.0,0.0,0.0,0.0,op2,1,0,,0.0,0.0,0.0,0.0,0.0
msg1_SubcarrierSpacing,op1,2,2,1.0,0.0,0.5,0.0,0.5,0.0,op2,3,3,1.6666666666666667,0.0,0.0,0.0,0.0,0.0
msg3_DeltaPreamble,op1,2,2,1.0,0.0,0.5,0.0,0.5,0.0,op2,2,2,6.0,0.0,0.0,0.0,0.0,0.0
mtu,op1,2,2,4500.5,0.0,0.5,0.0,0.5,0.5,op2,2,2,5000.0,0.0,0.5,0.0,0.5,1.0
nb_rx,op1,1,1,1.0,0.0,0.0,0.0,0.0,0.0,op2,1,1,4.0,0.0,1.0,0.0,1.0,0.0
nb_tx,op1,3,3,3.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,op2,3,3,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
nrofDownlinkSlots,op1,2,2,4.0,0.0,0.5,0.0,0.5,0.0,op2,3,3,4.333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
nrofDownlinkSymbols,op1,2,2,3.5,0.0,0.5,0.0,0.5,0.0,op2,3,3,8.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
nrofUplinkSlots,op1,2,2,1.5,0.0,0.5,0.0,0.5,0.0,op2,3,3,3.6666666666666665,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
nrofUplinkSymbols,op1,2,2,2.5,0.0,0.5,0.0,0.5,0.0,op2,3,3,8.666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
num_cc,op1,7,5,1.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.0,op2,4,2,0.5,0.75,0.0,0.0,0.0,0.0
ofdm_offset_divisor,op1,3,3,5.666666666666667,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,op2,1,1,8.0,0.0,1.0,0.0,1.0,0.0
p0_NominalWithGrant,op1,2,2,45.5,0.0,0.5,0.0,0.5,0.5,op2,2,2,110.5,0.0,0.0,0.0,0.0,1.0
p0_nominal,op1,2,2,45.5,0.0,0.5,0.0,0.5,0.5,op2,2,2,115.5,0.0,0.5,0.0,0.0,1.0
pMax,op1,1,1,20.0,0.0,1.0,0.0,1.0,1.0,op2,3,1,24.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333
pdsch_AntennaPorts_XP,op1,3,2,4.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,op2,1,1,2.0,0.0,1.0,0.0,1.0,0.0
powerRampingStep,op1,2,2,1.0,0.0,0.5,0.0,0.5,0.0,op2,2,2,3.0,0.0,0.0,0.0,0.0,0.0
prach_ConfigurationIndex,op1,3,3,33.5,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,op2,5,3,138.0,0.4,0.2,0.0,0.2,0.6
