filename,modified_key,original_value,error_value,error_type,affected_module,impact_description,option,source_file,param_name,orig_type,err_type,type_changed,numeric_orig,numeric_err,numeric_delta,abs_delta,direction,zero_to_nonzero,nonzero_to_zero,sign_change,large_jump
DU_case_001.json,gNBs[0].pdsch_AntennaPorts_XP,2,8,out of range,PHY,Exceeds maximum supported antenna ports for PDSCH,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,pdsch_AntennaPorts_XP,int,int,False,2.0,8.0,6.0,6.0,increase,False,False,False,False
DU_case_002.json,gNBs[0].pdsch_AntennaPorts_N1,2,1,invalid enum,PHY,Invalid antenna port configuration for PDSCH,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,pdsch_AntennaPorts_N1,int,int,False,2.0,1.0,-1.0,1.0,decrease,False,False,False,False
DU_case_003.json,gNBs[0].servingCellConfigCommon[0].dl_frequencyBand,78,79,out of range,RRC,Invalid frequency band for serving cell,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,dl_frequencyBand,int,int,False,78.0,79.0,1.0,1.0,increase,False,False,False,False
DU_case_004.json,gNBs[0].servingCellConfigCommon[0].dl_subcarrierSpacing,1,3,invalid enum,RRC,Invalid subcarrier spacing for serving cell,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,dl_subcarrierSpacing,int,int,False,1.0,3.0,2.0,2.0,increase,False,False,False,False
DU_case_005.json,gNBs[0].servingCellConfigCommon[0].initialDLBWPlocationAndBandwidth,28875,30000,out of range,RRC,Exceeds maximum supported bandwidth for DL BWP,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,initialDLBWPlocationAndBandwidth,int,int,False,28875.0,30000.0,1125.0,1125.0,increase,False,False,False,True
DU_case_006.json,gNBs[0].servingCellConfigCommon[0].prach_ConfigurationIndex,98,99,out of range,RRC,Invalid PRACH configuration index,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,prach_ConfigurationIndex,int,int,False,98.0,99.0,1.0,1.0,increase,False,False,False,False
DU_case_007.json,gNBs[0].servingCellConfigCommon[0].prach_msg1_FDM,0,1,invalid enum,RRC,Invalid PRACH message 1 FDM configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,prach_msg1_FDM,int,int,False,0.0,1.0,1.0,1.0,increase,True,False,True,False
DU_case_008.json,gNBs[0].servingCellConfigCommon[0].zeroCorrelationZoneConfig,13,14,out of range,RRC,Invalid zero correlation zone configuration,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,zeroCorrelationZoneConfig,int,int,False,13.0,14.0,1.0,1.0,increase,False,False,False,False
DU_case_009.json,gNBs[0].servingCellConfigCommon[0].preambleReceivedTargetPower,-96,-97,out of range,RRC,Invalid preamble received target power,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,preambleReceivedTargetPower,int,int,False,-96.0,-97.0,-1.0,1.0,decrease,False,False,False,False
DU_case_010.json,gNBs[0].servingCellConfigCommon[0].preambleTransMax,6,7,out of range,RRC,Invalid preamble transmission maximum,op1,C:\Users\bmwlab\Desktop\testing_row_data\option_1\json\processed\op1_100_case_1.json,preambleTransMax,int,int,False,6.0,7.0,1.0,1.0,increase,False,False,False,False
